indicator_id,geo_level,geo_name,year,period,sex,age_group,education,group_type,group,standardization,value,unit,ci_lower,ci_upper,n,source_ref,source_url,note
smoking_current,region,Oberpfalz,2013,2013,gesamt,gesamt,gesamt,,,beobachtet,22.4,percent,,,,"Suchtmonitoring Bayern 1: Rauchen (2021), S. 2",https://www.lgl.bayern.de/publikationen/gesundheit/doc/gesundheitsreport_01_2021.pdf,"Mikrozensus 2013, Bevölkerung ab 15 Jahren; zitiert nach LGL"
smoking_current,region,Oberpfalz,2017,2017,gesamt,gesamt,gesamt,,,beobachtet,23.7,percent,,,,"Suchtmonitoring Bayern 1: Rauchen (2021), S. 2",https://www.lgl.bayern.de/publikationen/gesundheit/doc/gesundheitsreport_01_2021.pdf,"Mikrozensus 2017, Bevölkerung ab 15 Jahren; zitiert nach LGL"
youth_smoking_ever,state,Bayern,2011,2011,gesamt,9./10. Klasse,gesamt,,,beobachtet,64,percent,,,,"Suchtmonitoring Bayern 1: Rauchen (2021), S. 4",https://www.lgl.bayern.de/publikationen/gesundheit/doc/gesundheitsreport_01_2021.pdf,"ESPAD Bayern 2011, Schülerinnen und Schüler der 9. und 10. Jahrgangsstufe; im Bericht gerundet angegeben"
youth_smoking_ever,state,Bayern,2019,2019,gesamt,9./10. Klasse,gesamt,,,beobachtet,45.8,percent,,,,"Suchtmonitoring Bayern 1: Rauchen (2021), S. 4",https://www.lgl.bayern.de/publikationen/gesundheit/doc/gesundheitsreport_01_2021.pdf,"ESPAD Bayern 2019, Schülerinnen und Schüler der 9. und 10. Jahrgangsstufe"
youth_smoking_30d,state,Bayern,2011,2011,gesamt,9./10. Klasse,gesamt,,,beobachtet,35,percent,,,,"Suchtmonitoring Bayern 1: Rauchen (2021), S. 4",https://www.lgl.bayern.de/publikationen/gesundheit/doc/gesundheitsreport_01_2021.pdf,"ESPAD Bayern 2011; im Bericht als 'knapp 35 %' angegeben"
youth_smoking_30d,state,Bayern,2019,2019,gesamt,9./10. Klasse,gesamt,,,beobachtet,21.4,percent,,,,"Suchtmonitoring Bayern 1: Rauchen (2021), S. 4",https://www.lgl.bayern.de/publikationen/gesundheit/doc/gesundheitsreport_01_2021.pdf,"ESPAD Bayern 2019, Schülerinnen und Schüler der 9. und 10. Jahrgangsstufe"
youth_smoking_30d,state,Bayern,2019,2019,männlich,9./10. Klasse,gesamt,,,beobachtet,20.4,percent,,,,"Suchtmonitoring Bayern 1: Rauchen (2021), S. 4",https://www.lgl.bayern.de/publikationen/gesundheit/doc/gesundheitsreport_01_2021.pdf,"ESPAD Bayern 2019"
youth_smoking_30d,state,Bayern,2019,2019,weiblich,9./10. Klasse,gesamt,,,beobachtet,22.5,percent,,,,"Suchtmonitoring Bayern 1: Rauchen (2021), S. 4",https://www.lgl.bayern.de/publikationen/gesundheit/doc/gesundheitsreport_01_2021.pdf,"ESPAD Bayern 2019"
youth_smoking_30d,state,Bayern,2019,2019,gesamt,9./10. Klasse,gesamt,Schulart,Mittelschule,beobachtet,30,percent,,,,"Suchtmonitoring Bayern 1: Rauchen (2021), S. 4",https://www.lgl.bayern.de/publikationen/gesundheit/doc/gesundheitsreport_01_2021.pdf,"ESPAD Bayern 2019; im Bericht gerundet angegeben"
youth_smoking_30d,state,Bayern,2019,2019,gesamt,9./10. Klasse,gesamt,Schulart,Gymnasium,beobachtet,15,percent,,,,"Suchtmonitoring Bayern 1: Rauchen (2021), S. 4",https://www.lgl.bayern.de/publikationen/gesundheit/doc/gesundheitsreport_01_2021.pdf,"ESPAD Bayern 2019; im Bericht gerundet angegeben"
